id; palavras_original; palavras_novo; unidades_medida_original; unidades_medida_novo; números_original; números_novo; cores_original; cores_novo; materiais_original; materiais_novo; tamanho_original; tamanho_novo; quantidade_original; quantidade_novo; descricao_original
28;confeccao, formulario, cartao, acompanhamento, leishmaniose;#;v;#;;#;preto, branco;#;;#;;#;;#;Confecção de formulário - Cartão de acompanhamento, de Leishmaniose preto e branco F/v
29;luva, natural, interior, algodao, multiuso, palma, antiderrapante;#;m, g;#;100;#;verde, amarelo;#;latex;#;;#;;#;LUVA DE LATEX NATURAL, INTERIOR 100% ALGODAO , MULTIUSO, PALMA ANTIDERRAPANTE, VERDE OU AMARELA TAMANHO   P,M,G
30;tesoura, spencer, retirado, ponto;#;;#;;#;;#;;#;;#;;#;TESOURA SPENCER PARA RETIRADA DE PONTOS
31;losartana, potassica;#;mg;#;25;#;;#;;#;;#;;#;LOSARTANA POTASSICA 25 MG
32;diclofenaco, sodio, cp;#;mg;#;50;#;;#;;#;;#;;#;DICLOFENACO SÓDIO 50MG CP
33;furosemida, comprimido;#;mg;#;1384, 0006, 40;#;;#;;#;;#;;#;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013840006 FUROSEMIDA 40 MG COMPRIMIDOS
34;prednisolona, fosfato, sodico, solucao, oral;#;mg, ml;#;3;#;;#;;#;;#;;#;PREDNISOLONA FOSFATO SODICO 3MG/ML SOLUÇÃO ORAL
35;benzilpenicilina, benzatina, po, solucao, injetavel;#;ui;#;1, 200, 000;#;;#;;#;;#;;#;Benzilpenicilina Benzatina, 1.200,000 UI, Pó para solução injetável
36;dicloridrato, flunarizina;#;mg;#;10;#;;#;;#;;#;;#;DICLORIDRATO DE FLUNARIZINA 10 MG
37;brometo, butilescopolamina, dipirona, sodico, solucao, injetavel;#;mg;#;20, 2, 5;#;;#;;#;;#;;#;Brometo de N-butilescopolamina, 20mg+dipirona sódica 2,5mg solução injetável
38;clorpromazina, cloridrato, comprimido;#;mg;#;25;#;;#;;#;;#;;#;Clorpromazina Cloridrato 25 mg comprimido
39;heparina, sodico, injetavel, iv, sc;#;ui, ml;#;5, 000;#;;#;;#;;#;;#;Heparina sodica 5.000ui/ml injetavel IV e SC
40;nortriptilina;#;mg;#;25;#;;#;;#;;#;;#;NORTRIPTILINA 25MG
41;ranitidina, cloridrato, solucao, injetavel;#;mg, ml;#;25;#;;#;;#;;#;;#;Ranitidina, Cloridrato, 25mg/ml, Solução Injetável
42;artico, sulfato, glicosamina, sodico, condroitina, solucao, po;#;g;#;15, 12;#;;#;;#;;#;;#;ARTICO SULFATO DE GLICOSAMINA  SULFATO SODICO DE CONDROITINA 15G  12G SOLUCAO EM PO
43;cloridrato, clorpromazina, amplictil;#;;#;;#;;#;;#;;#;;#;CLORIDRATO DE CLORPROMAZINA , AMPLICTIL
44;cloridrato, lidocaina;#;mg;#;20;#;;#;;#;;#;;#;CLORIDRATO DE LIDOCAINA 20MG
45;rifamicina, spray;#;ml;#;20;#;;#;;#;;#;;#;RIFAMICINA Rifamicina spray 20 ml
46;flux, sr, indapamida;#;mg;#;1, 5;#;;#;;#;;#;;#;(00297436)FLUX SR (INDAPAMIDA) 1,5MG
47;alcool, gel, anti, septico, seco;#;l;#;4, 084, 5;#;;#;;#;;#;;#;004084 ALCOOL GEL ANTI SEPTICO A SECO 5 L
48;alendronato, sodio;#;mg;#;70;#;;#;;#;;#;;#;Alendronato Sodio 70mg
49;acido, folico, comprimido;#;mg;#;5;#;;#;;#;;#;;#;ACIDO FOLICO COMPRIMIDO 5MG
50;azitromicina;#;mg;#;600;#;;#;;#;;#;;#;AZITROMICINA 600 MG
51;haloperidol, decanoato;#;mg, ml;#;50;#;;#;;#;;#;;#;HALOPERIDOL/DECANOATO/50MG/ML.
52;fenobarbital;#;mg, ml;#;100, 2;#;;#;;#;;#;;#;013242 FENOBARBITAL 100MG/ 2 ML
53;tropicamida;#;;#;1;#;;#;;#;;#;;#;TROPICAMIDA A 01%
54;ceftriaxona, sodico, po, injetavel;#;g;#;1;#;;#;;#;;#;;#;Ceftriaxona, Sódica 1g pó injetável
55;neutrofer;#;mg;#;300;#;;#;;#;;#;;#;NEUTROFER 300 MG
56;dexametasona, inj, im, iv;#;mg, ml;#;347, 0, 2, 50, 1;#;;#;;#;;#;;#;003470 DEXAMETASONA 2 MG/ML INJ  50X1 ML IM/IV
57;salbutamol;#;mg, ml;#;2, 120;#;;#;;#;;#;;#;SALBUTAMOL 2 MG/ML 120 ML
58;metronidazol, suspensao, oral;#;mg, ml;#;40;#;;#;;#;;#;;#;Metronidazol, 40mg/mL suspensao oral
59;metoclopramida, cloridrato, solucao, injetavel;#;mg, ml;#;5;#;;#;;#;;#;;#;Metoclopramida cloridrato, 5mg/ml, solução injetável
60;haloperidol, im, iv, solucao, injetavel;#;mg, ml;#;5;#;;#;;#;;#;;#;Haloperidol, 5mg/ml IM/IV, solução injetável
61;tempero, alho, sal, apresentacao, minimo, dez, cento, pote;#;grama;#;500;#;;#;;#;;#;;#;136790 - TEMPERO ALHO E SAL - APRESENTACAO: MINIMO DEZ POR CENTO DE ALHO POTE DE 500 GRAMAS
62;flumazenil, principio, ativo, concentracao, dosagem, forma, farmaceutico, solucao, injetavel, apresentacao, ampola, componente;#;mg, ml;#;0, 1, 5;#;;#;;#;;#;;#;Flumazenil, PRINCIPIO ATIVO: FLUMAZENIL, CONCENTRACAO/DOSAGEM: 0,1 MG/ML, FORMA FARMACEUTICA: SOLUCAO INJETAVEL, APRESENTACAO: AMPOLA 5 ML, COMPONENTE: .,
63;almofada, carimbo, composicao, resina, termoplastico, tinta, base, agua, corante, solvente, aditivo, tampo;#;;#;6, 7;#;azul;#;plastico;#;;#;;#;ALMOFADA PARA CARIMBO AZUL - Composicao: Resinas termoplasticas, tinta a base de agua, corantes, solventes, aditivos e tampa de plastico. Tamanho 6,7
64;oleo, freio;#;;#;;#;;#;;#;;#;;#;oLEO PARA FREIO
65;manta, auto, adesivo, prazer, validade, minimo, mes;#;cm, m;#;20, 10, 18;#;;#;;#;;#;;#;Manta auto adesiva 20cmx10m. Prazo de validade mínima de 18 meses.
66;solucao, bateria;#;;#;;#;;#;;#;;#;;#;SOLUCAO PARA BATERIA
67;haloperidol, decanoato, solucao, injetavel, ampola;#;mg, ml;#;70, 52, 50, 1;#;;#;;#;;#;;#;HALOPERIDOL DECANOATO 70,52MG/ML (50MG/ML HALOPERIDOL) SOLUCAO INJETAVEL AMPOLA 1ML
68;cabo;#;mm;#;50;#;;#;cobre;#;;#;;#;Cabo de cobre 50mm
69;dexametasona, creme, bisnaga;#;;#;342, 0, 1;#;;#;;#;;#;;#;000342 DEXAMETASONA CREME 0,1% BISNAGA
70;fita, adesivo, polipropileno, adesivo, acrilico;#;mm, m;#;12, 10;#;verde;#;;#;;#;;#;FITA ADESIVA - COR: VERDE DE POLIPROPILENO COM ADESIVO ACRÍLICO, MEDINDO 12 MM X 10 M.
71;oleo, lubrificante, caneta, alto, rotacao;#;;#;;#;;#;;#;;#;;#;OLEO LUBRIFICANTE P/ CANETA ALTA ROTACAO
72;caneta, gel, esferografica, esfera, carboneto, cromo, ponta, largura, linha, corpo, redondo, transparente, mesmo;#;mm;#;0, 8, 6;#;;#;;#;medio;#;;#;CANETA GEL ESFEROGRÁFICA - ESFERA DE CARBONETO DE CROMO - PONTA MÉDIA: 0.8 MM E LARGURA DA LINHA 0,6 MM - CORPO REDONDO DE COR TRANSPARENTE E DA MESMA
73;envelope, papel, pardo, simples;#;cm;#;32, 42;#;;#;;#;;#;;#;ENVELOPE PAPEL PARDO SIMPLES TAMANHO  32CM 42CM
74;ritalina, ele;#;mg;#;10;#;;#;;#;;#;;#;RITALINA LA 10 MG
75;folha, papel, carbono, dupla, face;#;;#;100;#;;#;;#;;#;caixa;#;FOLHA DE PAPEL CARBONO DUPLA FACE CAIXA COM 100
76;macarrao, parafuso, ovo;#;;#;;#;;#;;#;;#;;#;MACARRAO TIPO PARAFUSO COM OVOS
77;viga, eucalipto, comprimento, diametro, minimo, ponta;#;m, cm;#;8, 00, 10, 0, 30;#;;#;;#;;#;;#;Vigas de eucalipto 8,00 a 10,0m de comprimento, diâmetro mínimo na ponta 30 cm
78;caderno, folha;#;;#;60;#;;#;;#;grande;#;;#;CADERNO GRANDE 60 FOLHAS
79;reagente, determinacao, quantitativo, ureia, amostra, soro, plasma, urina, reacao, cinetico, ponto, fixo, automacao;#;;#;;#;;#;;#;;#;;#;REAGENTE PARA DETERMINACAO QUANTITATIVA DE UREIA EM REAGENTE PARA DETERMINACAO QUANTITATIVA DE UREIA EM AMOSTRA DE SORO, PLASMA E URINA COM REACAO CINETICA DE PONTO FIXO (AUTOMACAO)
80;biscoito, doce, maria, feito, farinha, trigo, acucar, oleo, essencia, baunilha;#;gr, g;#;400;#;;#;;#;;#;pacote;#;BISCOITO DOCE - 400 GR TIPO MARIA, FEITO COM FARINHA DE TRIGO, ACUCAR, OLEO E ESSENCIA DE BAUNILHA. PACOTE C/ 400 G.
81;ceftriaxona, po, solucao, injetavel, frasco, ampola;#;mg;#;1000;#;;#;;#;;#;;#;Ceftriaxona 1000mg po para solucao injetavel frasco-ampola
82;tempero, alho, sal;#;;#;;#;;#;;#;;#;;#;Tempero alho e sal
83;luva, seguranca, materia, primo, raspa, couro, finalidade, manutencao, geral, cano, unico, todo, dedo, par;#;;#;;#;;#;;#;;#;;#;38303 - LUVA PARA SEGURANCA - MATERIA-PRIMA: RASPA DE COURO, FINALIDADE: MANUTENCAO EM GERAL, TAMANHO/CANO: TAMANHO UNICO COM TODOS OS DEDOS, PAR
84;atropina, sulfato, principio, ativo, concentracao, dosagem, forma, farmaceutico, solucao, injetavel, apresentacao, ampola, componente;#;mg, ml;#;0, 25, 1;#;;#;;#;;#;;#;Atropina Sulfato, Principio ativo: atropina sulfato, Concentração/Dosagem: 0,25 mg/ml, Forma farmacêutica: solução injetavel, Apresentação: ampola 1ml , Componente:.
85;gelatina, po, sabor, limao;#;;#;;#;;#;;#;;#;;#;GELATINA EM PO SABOR LIMAO
86;movimento, diario, equipe, atencao, basico, bloco;#;;#;100;#;;#;;#;;#;unidade;#;MOVIMENTO DIÁRIO POR EQUIPE DE ATENÇÃO BÁSICA.,BLOCO COM 100 UNIDADES
87;soro, glicofisiologico, apresentacao, bolsa, frasco, dosagem, glicose, cloreto, sodio;#;ml, mg;#;250, 5, 50, 0, 9;#;;#;;#;;#;;#;22293 - SORO GLICOFISIOLÓGICO -APRESENTAÇÃO: BOLSA OU FRASCO DE 250 ML DOSAGEM: GLICOSE 5%(50MG/ML) + CLORETO DE SÓDIO 0,9%(9 MG/ML)
88;cinturao, seguranca, talabarte, protecao, usuario, contra, queda, trabalho, altura;#;;#;;#;;#;;#;;#;;#;CINTURAO DE SEGURANCA- COM TALABARTE Para protecao do usuario contra quedas em trabalhos em altura.
89;pasta, catalogo, envelope, visor, frontal;#;mm;#;50, 243, 333;#;;#;plastico;#;;#;;#;Pasta catalogo com 50 envelopes plasticos, com visor frontal, medindo: 243mm x 333mm.
90;ca, barra, minimo;#;mm, metro;#;6, 3, 1, 4;#;;#;aco;#;;#;;#;Aco 6,3 mm CA (1/4"). Barra com no minimo 6 metros .
91;fixador, processador, automatico, raio;#;;#;;#;;#;;#;;#;;#;FIXADOR P PROCESSADOR AUTOMATICO DE RAIO X
92;reanimador, pulmonar, manual, silicone, adulto, completo, produto, autoclavavel, contender, mascara, facial, anatomico, bala, translucidar, reservartorio, o2, extensao;#;;#;;#;;#;plastico;#;;#;;#;REANIMADOR PULMONAR MANUAL DE SILICONE ADULTO - COMPLETO: PRODUTO AUTOCLAVAVEL, TAMANHO ADULTO. CONTENDO: MASCARA FACIAL ANATOMICA, BALAO EM SILICONE TRANSLUCIDO, RESERVARTORIO DE O2 E EXTENSAO PLASTICA DE O2
93;seringa, insulina, corpo, unico, agulha, acoplar, seringa, processo, producao, monobloco, embolo, polimero, siliconizada, fino, firmar, graduacao, forte, apagar, manuseio;#;mm, g;#;100, 6, 0, 25, 31;#;;#;plastico, metal;#;;#;;#;SERINGAS PARA INSULINA CORPO UNICO, AGULHA ACOPLADA DA SERINGA NO PROCESSO DE PRODUCAO (MONOBLOCO), CORPO EMBOLO-POLIMERO PLASTICO, AGULHA METAL SILICONIZADA U-100 AGULHA FINA 6MM X 0,25- 31G.EMBOLO FIRME, GRADUACAO FORTE QUE NAO APAGUE COM O MANUSEIO.
94;papel, ecg, termo, grafico, tx, validade, ano;#;mm, m;#;58, 16, 30, 2;#;;#;;#;;#;;#;Papel para Ecg, termo gráfico, 58mmx16Tx30m, Validade 2 anos
95;aparelho, ter, fe, fisioterapia, canal, independente, intensidade, corrente, mau, polipropileno, bivolt, bipolar, assimetrico, tempo, terapia, minuto, cabo, forca, destacavel, frequencia, hz, sustentacao, segundo, acessorio, minimo, cabo, disparador, manual, eletrodo, borracha, bisnaga, gel, operacao, registro, anvisa;#;mm;#;4, 70, 1, 59, 10, 20, 30, 40, 50, 60, 80, 100, 150, 200, 0, 8;#;;#;metal;#;;#;;#;Aparelhos TENS/FES / Para Fisioterapia / 4 Canais Independentes com Intensidade de Corrente de Até 70Ma / Metal e Polipropileno / Bivolt / Corrente bipolar assimétrica / Tempo de terapia: 1 a 59 minutos / 1 Cabo de força destacável / Frequência: 4, 10, 20, 30, 40, 50, 60, 80, 100, 150 e 200Hz, Sustentação: 0 a 50 segundos / Acessórios Mínimos: 01 Cabo de força 4 Cabos de Terapia Disparador Manual 8 Eletrodos de Borracha 50x50mm Bisnaga de Gel e Manual de Operação / Com Registro Anvisa.
96;armario, cozinha, porta, gaveta, prateleira, externar, corpo, chapa, pintura, eletrostatico, po, brilhante, tampo, formico, pe, fixo, regulagem, altura, poliestireno, acabamento, liso, sapata, cromado, puxador, abs, metalizar, protecao, verniz, uv, dobradico, estampado, fixacao, bucha, parafuso, incluir, trava, seguinte, aproximado, largura, profundidade;#;mm;#;6, 3, 193, 120, 50;#;;#;aco, plastico;#;;#;;#;ARMARIO DE COZINHA DE 6 PORTAS.03 gavetas com prateleiras externas Corpo e portas em chapas de aco com pintura eletrostatica a po brilhante Tampo em formica Pes fixos com regulagem de altura, em poliestireno com acabamento liso e sapata plastica cromada Puxadores: Em ABS, acabamento metalizado e protecao de verniz UV Dobradicas: em aco estampado Fixacao: Buchas e parafusos(inclusos) com trava nas gavetas com as seguintes medidas aproximadas: Altura: 193 mm, Largura: 120 mm e profundidade: 50mm,
97;kit, pet;#;;#;;#;;#;;#;;#;;#;KIT PET
98;kit, acabamento, polimento, indicacao, abrasivo, marrom, pre, remover, ultimo, excesso, deixado, broca, ultilaminadas, ajustar, nivel, margem, suavizar, forma, sulco, fossulas, superficie, liso, restaurado, intermediario, menor, poder, comecar, extrair, brilho, surpeficies, eliminar, parte, risco, ainda, remanescente, final, extrair, briljo, desejar, elimnmina, clinico, irregularidade, final, empregar, sempre, pressao, leve, movimento, intermitente, composicao, cloro, sulfonado, polietileno, carbureto, silicio, corante, hasre, metalico;#;;#;1, 2, 3;#;verde, azul;#;;#;grande;#;;#;KIT DE ACABAMENTO E POLIMENTO - Indicacao do tipo abrasivo.- 1o Marrom - Pre-polimento: remove os ultimos excessos deixados pelas brocas ultilaminadas. Ajusta o nivel das margens suavizando as formas dos sulcos, fossulas e superficies lisas restauradas.- 2o Verde - Polimento intermediario: tem menor poder abrasivo e comeca a extrair o brilho das surpeficies, eliminando grande parte dos riscos ainda remanescentes.- 3o Azul: Polimento final: extrai o briljo final desejado e elimnmina o nivel clinico, os riscos e as irregularidades finais. Empregar sempre pressoes leves e movimentos intermitentes. Composicao: Cloro sulfonado polietileno carbureto de silicio, corante, hasre metalica.
99;calice, graduado, pe, destinado, sedimentacao, fezes;#;ml;#;200;#;;#;plastico;#;;#;;#;Cálice de plástico, 200 ml, graduado, com pé plástico destinado para sedimentação das fezes.
100;fio, sutura, catgut, simples, agulha, cc31, circular, cilindrico, diametro, envelope;#;cm;#;3, 8, 0, 75, 24;#;;#;;#;;#;caixa;#;FIO DE SUTURA CATGUT SIMPLES, COM AGULHA CC31- 3/8 CIRCULO CILINDRICA, DIAMETRO(0),  75 CM, CAIXA COM 24 ENVELOPES
101;quadro, aviso, cortica, natural, largura, altura, fabricar, mdf, espessura, fibra;#;cm, mm;#;100, 60, 12;#;;#;madeira;#;;#;;#;Quadro de avisos em cortica natural, medindo 100 cm de largura x 60 cm de altura, fabricado em madeira MDF de 12 mm de espessura ou fibra de madeira,
102;carimbo, base, cabo, envernizado, confeccionado, polimero, acompanhar, borracha, amortecedor, dimensao;#;cm;#;10, 4;#;;#;madeira;#;;#;;#;CARIMBO CARIMBO DE MADEIRA BASE E CABO ENVERNIZADO, CONFECCIONADO EM POLÍMERO E ACOMPANHA BORRACHA AMORTECEDORA. DIMENSÕES: 10CM X 4CM
103;dea, desfibrilador, externar, automatico;#;;#;;#;;#;;#;;#;;#;DEA - DESFIBRILADOR EXTERNO AUTOMÁTICO
104;kit, magnesio, magon, sulfonado, metodo, colorimetrico, apresentacao, reagente, reagente, frasco, solucao, aquoso, tamponar, ph, contender, carbonato, potassio, mmol, egta, mol, azida, sodico, padrao, ion, dl, corresponder, acordo, legislacao, vigente, rotulo, numero, lote, data, fabricacao, validade, temperatura, estocagem, composicao, procedencia, partir, entrega, minimo, doze, mes;#;ml, l, mg;#;200, 1, 11, 5, 110, 40, 0, 15, 2, 3, 82, 12;#;;#;;#;;#;embalagem;#;KIT MAGNESIO - (MAGON SULFONADO) - METODO COLORIMETRICO: Apresentacao com 200 ml. REAGENTES 1. Reagente de Cor: 01 frasco com 200 ml de solucao aquosa tamponada em pH 11,5 contendo carbonato de potassio 110 mmol/L, EGTA 40 ?mol/L, Magon sulfonado 0,1mmol/L e azida sodica 15,5 mmol/L. 2. Padrao: 01 frasco com 3,0 ml de solucao aquosa de ions magnesio 2 mg/dL, correspondendo a 0,82 mmol/L. Embalagem de acordo com legislacao vigente. Rotulo contendo numero de lote, data de fabricacao, validade, temperatura de estocagem, composicao e procedencia. Validade do material a partir da data de entrega de no minimo 12 (doze) meses.
105;papel, linho, qualificado, gramatura, formato, a4;#;g, m2, mm;#;180, 210, 297;#;branco;#;;#;;#;;#;Papel LINHO, qualificado, gramatura 180 g/m2 -  formato A4 -  medida : 210, mm x 297mm , COR :  BRANCO
106;clorexidina, solucao, tensoativa, digluconato, degermante, atuar, permeabilidade, parede, celular, bacteriano, influenciar, grupo, enzimatico, intracelular, causar, destruicao, microorganismo, reg;#;ml;#;4, 100;#;;#;;#;;#;;#;CLOREXIDINA 4% - 100ML - SOLUCAO  TENSOATIVA  DE DIGLUCONATO DE CLOREXIDINA 4%, DEGERMANTE, QUE ATUA NA PERMEABILIDADE DA PAREDE CELULAR BACTERIANA, INFLUENCIANDO EM GRUPOS ENZIMATICOS INTRACELULARES CAUSANDO A DESTRUICAO DOS MICROORGANISMOS, COM REG
107;leo, soja;#;g;#;900;#;;#;;#;;#;embalagem;#;LEO DE SOJA EMBALAGEM DE 900G.
108;panela, fundir, tampo, cabo, baquelite, revestimento, antiaderente, alca;#;;#;24;#;;#;aluminio;#;;#;;#;Panela em alumínio fundido n.  24, com tampa,   material cabo baquelite, revestimento antiaderente, com tampa de alumínio com alça .
109;vassoura, cabo, projetar, uso, interno, piso, liso, ceramico, porcelanato, laminado, cerda, sintetico, resistente, embolar, proporcionar, melhor, alcance, debaixo, lugar, dificil, acesso, produto, bom;#;cm;#;40;#;;#;madeira;#;;#;;#;VASSOURA DE PELO 40 CM CABO DE MADEIRA Vassoura projetada para uso interno e pisos lisos como: ceramica, porcelanato, madeira e laminados. Suas cerdas de pelo sintetico sao muito resistentes e nao embolam. Proporciona melhor alcance debaixo dos lugares de dificil acesso. PRODUTOS DE BOA QUALIDADE
110;jogo, qi, pergunta, resposta, variar, niveisde, dificuldade, dividido, categoria, variedade, curiosidade, arte, entretenimento, ciencia, natureza, povo, lugar, esporte, lazer, historia, faixa, etario, recomendado, partir, ano, idade, produto, confeccionado, cartonar, participante, conteudo, tabuleiro, cartao, dado, peao, manual, instrucao, cartela, adesivo, ficha, pontuacao, dimensao, aproximado, altura, largura, profundidade, pesar, liquido, aproximado;#;cm, grama;#;4800, 6, 8, 2, 1, 400, 36, 48, 34, 30, 910;#;azul, amarelo, verde, branco, vermelho, preto;#;plastico;#;;#;embalagem;#;JOGO QI. - JOGO DE PERGUNTAS E RESPOSTAS COM 4800 PERGUNTAS COM VARIADOS NIVEISDE DIFICULDADE, DIVIDIDAS EM 6 CATEGORIAS: VARIEDADES E CURIOSIDADES, ARTE E ENTRETENIMENTO, CIENCIA E NATUREZA, POVOS E LUGARES, ESPORTE E LAZER E HISTORIA. FAIXA ETARIA RECOMENDADA A PARTIR DE 8 ANOS DE IDADE. PRODUTO CONFECCIONADO EM MATERIAL PLASTICO E CARTONADO. PARA 2 A 6 PARTICIPANTES. CONTEUDO DA EMBALAGEM: 1 TABULEIRO, 400 CARTOES DE PERGUNTAS, 1 DADO, 6 PEOES, 1 MANUAL DE INSTRUCAO, CARTELA DE ADESIVOS, 36 FICHAS DE PONTUACAO, 6 AZUIS, 6 AMARELAS, 6 VERDES, 6 BRANCAS, 6 VERMELHAS E 6 PRETAS. DIMENSOES APROXIMADAS DO PRODUTO: 48CM DE ALTURA X 34CM DE LARGURA X 30CM DE PROFUNDIDADE. PESO LIQUIDO APROXIMADO DO PRODUTO 910 GRAMAS.
111;carro, maca, epoxi, grade, suporte, soro, pneu, macico, leito, estofar, cabeceira, reclinavel, lateral, abaixar, estrutura, tubular, redondo, roda, ser, freio, pintura, eletrostatico, po, dimensao, total, comprimento, largura, altura, alrgura;#;m;#;4, 2, 00, 0, 60, 80, 1, 85, 55;#;;#;aco;#;;#;;#;Carro Maca Epóxi Com Grades, Suporte Soro, Pneus Maciços, leito estofado com cabeceira reclinável, com grades laterais de abaixar e suporte de soro. Estrutura tubular em aço redondo, rodas de 4" sendo 2 com freios. Pintura eletrostática a pó (Epóxi). Dimensões totais: 2,00m comprimento x 0,60m largura x 0,80m altura. Dimensões do leito: 1,85m comprimento x 0,55m alrgura.
112;ficha, visita, domiciliar, ap, a4, bloco, fls;#;grama;#;75, 100;#;;#;;#;;#;;#;Ficha de visita domiciliar AP 75 Gramas A4 BLOCO C/ 100FLS
113;filtro, combustivel, gis;#;;#;50, 7;#;;#;;#;;#;;#;FILTRO DE COMBUSTIVEL - GIS 50/7
