id; palavras_original; palavras_novo; unidades_medida_original; unidades_medida_novo; números_original; números_novo; cores_original; cores_novo; materiais_original; materiais_novo; tamanho_original; tamanho_novo; quantidade_original; quantidade_novo; descricao_original
72;sulfametoxazol, trimetoprima, principio, ativo, concentracao, dosagem, forma, farmaceutico, comprimido, apresentacao, componente;#;mg;#;400, 80;#;;#;;#;;#;;#;Sulfametoxazol, SULFAMETOXAZOL + TRIMETOPRIMA PRINCIPIO ATIVO: SULFAMETOXAZOL + TRIMETOPRIMA, CONCENTRACAO/DOSAGEM: 400 MG + 80 MG, FORMA FARMACEUTICA: COMPRIMIDO, APRESENTACAO: ., COMPONENTE: .,
73;enalapril, principio, ativo, maleato, concentracao, dosagem, forma, farmaceutico, comprimido;#;mg;#;10;#;;#;;#;;#;;#;Enalapril, principio ativo: enalapril, maleato, concentracao/dosagem: 10 mg, forma farmaceutica: comprimido
74;cebola, cabeca, uniforme, parte, mole, livre, doenca, broto, perfeito, condicao, apresentacao;#;;#;;#;;#;;#;;#;;#;CEBOLA DE CABECA: Tamanho Uniforme, Sem Partes Moles, Livre de Doencas e Brotos Em Perfeita Condicao de Apresentacao.
75;escada, dois, degrau, confeccao, pintado;#;;#;2;#;;#;aco, ferro;#;;#;;#;Escada com 02 (dois) degraus- Material de confecção: aço/ ferro pintado.
76;cartao, vacinacao, vacina, anti, rabica, humano, papel, frente, verso, logotipo, prefeitura;#;g;#;180, 10, 7;#;branco;#;;#;;#;;#;CARTAO DE VACINACAO VACINA ANTI-RABICA HUMANA PAPEL BRANCO 180G TAMANHO 10X7, FRENTE, NO VERSO O LOGOTIPO DA PREFEITURA.
77;haloperidol, principio, ativo, concentracao, dosagem, forma, farmaceutico, solucao, injetavel, apresentacao, ampola;#;mg, ml;#;5, 1;#;;#;;#;;#;;#;Haloperidol, principio ativo: haloperidol, concentracao/dosagem: 5 mg/ml, forma farmaceutica: solucao injetavel, apresentacao: ampola 1 ml,
78;seringa, insulina, agulha;#;;#;;#;;#;;#;;#;;#;SERINGA PARA INSULINA COM AGULHA
79;registro, diario, aplicacao, ultra, baixo, volume, bloco, folha;#;;#;100;#;;#;;#;;#;;#;Registro diário de aplicações a ultra baixo volume - Bloco com 100 folhas
80;creme, leite;#;;#;;#;;#;;#;;#;;#;CREME DE LEITE
81;vassoura, nylon, cabo, revestido;#;;#;;#;;#;madeira;#;;#;;#;VASSOURA DE NYLON CABO MADEIRA REVESTIDO 104161
82;pasta, elastico, aba, oficio, simples, cartao, duplex, largura, altura;#;mm;#;235, 325;#;preto;#;;#;;#;;#;Pasta com Elástico, Pasta aba elástico ofício simples - Em cartão duplex preta - 235 largura x 325 altura mm
83;armario, vitrine, numero, porta, confeccao, pintado, lateral;#;;#;2;#;;#;aco, ferro, vidro;#;;#;;#;ARMARIO VITRINE NUMERO DE PORTAS 02 PORTAS, MATERIAL DE CONFECCAO ACO / FERRO PINTADO, LATERAIS DE VIDRO.
84;reservatorio, agua, fiat, palio;#;;#;;#;;#;;#;;#;;#;RESERVATORIO DE AGUA FIAT PALIO
85;cimento, fosfato, zinco;#;;#;;#;;#;;#;;#;;#;CIMENTO FOSFATO ZINCO
86;carbonato, litio, apresentacao, comprimido, dosagem;#;mg;#;300;#;;#;;#;;#;;#;72425 - CARBONATO DE LITIO APRESENTACAO: COMPRIMIDO, DOSAGEM: 300 MG
87;mascara, adulto, inalacao, conjunto, completo, extensao, conector, ar, comprimido, oxigenio;#;;#;;#;;#;;#;;#;;#;MASCARA ADULTO PARA INALAÇÃO, CONJUNTO COMPLETO (EXTENSÃO COM CONECTOR PARA AR COMPRIMIDO OU OXIGENIO)
88;ovo, classe, cartela;#;;#;30;#;vermelho;#;;#;grande;#;unidade;#;Ovos Vermelhos Grandes Classe A  cartela com 30 unidades
89;mourao, tratado, cerca, anti, racha, altura, diametro;#;m, cm;#;2, 20, 10;#;;#;;#;;#;;#;MOURÕES TRATADO PARA CERCA C/ ANTI-RACHA  DE ALTURA 2,20 M DIAMETRO: 10 CM
90;papel, cartolina, celulose, vegetal, gramatura, comprimento, largura;#;g, cm;#;190, 66, 50;#;branco;#;;#;;#;;#;PAPEL CARTOLINA, MATERIAL CELULOSE VEGETAL, GRAMATURA 190G, COR BRANCA, COMPRIMENTO 66CM, LARGURA 50CM.
91;cadeira, fixo, polipropileno, injetado, reciclar, vario, furo, ventilacao, tratamento, uv, encosto, concavo, anatomico, aprox, montada, chassi, processo, encaixe, vestido, tubo, lateral, assento, rugosidade, antiderrapante, estrutura, pe, fixo, tubo, oval, dever, ser, fabricante, prazer, garantia, minimo, mes;#;mm;#;460, 320, 420, 4, 12;#;preto;#;plastico, aco;#;;#;;#;CADEIRA PLASTICA FIXA em polipropileno injetado nao reciclado com varios furos para ventilacao, com tratamento UV, cor preta com encosto concavo anatomico medindo aprox. 460x320mm, montada em chassi por processo de encaixe vestido tubos laterais, assento anatomico medindo 460x420mm com rugosidade antiderrapante com tratamento UV, estrutura fixa com 04 pes fixos em tubo de aco oval na cor preta. O assento e encosto deverao ser do mesmo fabricante, cor preta  com prazo de garantia de no minimo 12meses.
92;ficha, encaminhamento, centro, viver, vida, microserrinha, horizontal, carbonar, formato, f9;#;;#;31, 21, 50, 2;#;;#;;#;;#;;#;FICHA DE ENCAMINHAMENTO CENTRO VIVA A VIDA 31X21 50X2 COM MICROSERRINHA HORIZONTAL-CARBONADO-FORMATO F9
93;escova, robinson, reto, ca, nylon, contra, angulo, cerda, macias, indicado, pre, polimento, resina, poder, ser, utilizado, pasta, oleo, mineral;#;;#;;#;branco;#;;#;;#;unidade;#;Escova Robinson Reta CA, Nylon Branco, Para CA (Contra-ângulo), Cerdas: Macias. Indicada para pré-polimento de resina, podendo ser utilizada com pasta de polimento e óleo mineral. Unidade.
94;apontador, lapis, simples, super, pratico, ideal, uso, sala, aula, lamina, temperado, especial, proporcionar, melhor, apontamento, maior, durabilidade;#;cm;#;6, 5, 12, 1, 3;#;;#;plastico, aco;#;;#;;#;Apontador de lápis plástico simples, super prático e ideal para o uso em sala de aula, com lâmina de aço temperado especial, proporciona um melhor apontamento e maior durabilidade. Tamanho 6,5 x 12,5 x 1,3cm
95;computador, microcomputador, nucleo, ghz, mb, placa, mae, lga1150, pino, onbord, gb, memoria, mhz, ddr3, disco, rigido, rpm, gravador, dvd, rw, kit, gabinete, atx, baia, teclado, ps2, mouse, som, amplificar, estabilizador, tensao, monitor, lcd, led;#;;#;33, 3, 7, 4, 1333, 500, 7200, 300, 18, 5;#;;#;;#;;#;cx;#;33 - COMPUTADOR MICROCOMPUTADOR COM 03 NUCLEOS 3.7GHZ 3MB, PLACA MAE LGA1150 PINOS ONBORD, 04 GB MEMORIA 1333MHZ DDR3, DISCO RIGIDO 500 GB 7200 RPM, GRAVADOR DVD-RW, KIT GABINETE ATX 04 BAIAS, COM TECLADO PS2, MOUSE PS2 E CX SOM AMPLIFICADA 300W, ESTABILIZADOR DE TENSAO 300W E MONITOR LCD LED 18.5".
96;kit, mesa, quatro, cadeira, modelo, bistro, braco, polipropileno, virgem, certificado, inmetro;#;kg;#;140;#;branco, azul;#;plastico;#;;#;;#;KIT DE MESA COM QUATRO CADEIRAS MODELO BISTRO SEM BRACO EM PLASTICO POLIPROPILENO VIRGEM NA COR BRANCO OU AZUL, COM CAPACIDADE DE 140 KG, COM CERTIFICADO INMETRO
97;moldagem, confeccao, adaptacao, protese, parcial, mandibular, removivel, confeccionadas, acordo, norma, vigilancia, sanitario, intra, oral, liga, cromocobalto, dentro, muco, suportar, indicado, reabilitar, paciente, parcialmente, desdentado, mandibula, estrutura, metalico, referir, dente, artificial, resina, acrilico, unido, base, termopolimerizavel, produto, obtido, partir, modelo, gesso, iii, produzir, arcada, rebordo, residual;#;;#;;#;;#;metal;#;;#;;#;MOLDAGEM, CONFECÇÃO E ADAPTAÇÃO DE PROTESE PARCIAL  MANDIBULAR REMOVIVEL ? CONFECCIONADAS DE ACORDO COM AS NORMAS DA VIGILANCIA SANITÁRIA PROTESE PARCIAL REMOVÍVEL INTRA-ORAL EM LIGA DE CROMOCOBALTO, DENTRO MUCO SUPORTADA OU DENTRO SUPORTADA INDICADA PARA REABILITAR PACIENTES PARCIALMENTE DESDENTADOS NA MANDÍBULA, CONFECCIONADAS COM ESTRUTURA METÁLICA DO REFERIDO METAL, COM DENTES ARTIFICIAIS DE RESINA ACRÍLICA UNIDOS A BASES CONFECCIONADAS EM RESINA ACRÍLICA TERMOPOLIMERIZAVEL E A ESTRUTURA METÁLICA. ESTE PRODUTO É OBTIDO A PARTIR DE MODELOS DE GESSO TIPO III QUE PRODUZEM AS ARCADAS E OS REBORDOS RESIDUAIS DOS PACIENTES
98;mascara, alto, concentracao, oxigenio, adultomascara, lpm, contar, bolsa, reservatorio, o2, confeccionada, transparente, possuir, valvula, anti, refluxo, impedir, re, inalacao, gas, expirar, mangueira, flexivel, lamina, ajuste, nariz, elastico, fixacao, cabeca, apresentar, registro, anvisa;#;;#;10, 12, 80, 100;#;;#;plastico, latex, aluminio;#;;#;;#;MASCARA ALTA CONCENTRAÇÃO OXIGENIO ADULTOMASCARA COM ALTA CONCENTRAÇÃO ( 10 ¿ 12 LPM / 80-100%). CONTEM BOLSA RESERVATÓRIA DE O2, CONFECCIONADA EM PLÁSTICO TRANSPARENTE SEM LÁTEX. POSSUI VÁLVULA ANTI- REFLUXO, QUE IMPEDE A RE- INALAÇÃO DO GÁS EXPIRADO MANGUEIRA  FLEXÍVEL PARA O2, LAMINA DE ALUMÍNIO PARA AJUSTE DO NARIZ E ELÁSTICO PARA FIXAÇÃO NA CABEÇA.APRESENTAR REGISTRO NA ANVISA (870015288)
99;refrigerador, geladeira, dois, porta, duplex, frost, free, classificacao, eficiencia, energetico, nivel, emitir, programa, brasileiro, etiquetagem, pbe, instituto, nacional, demetrologia, normalizacao, industrial, inmetro, tensao, utilizar, gas, ciclo, isopentano, garantia, minimo, meseson, site;#;litro, v;#;451, 500, 110, 12;#;branco;#;;#;;#;;#;REFRIGERADOR ? Tipo geladeira, com duas portas(Duplex), frost free,capacidade de 451 a 500 litros. Classificacao de eficiencia energetica nivel ?A?emitido pelo programa Brasileiro de Etiquetagem ? PBE do Instituto Nacional deMetrologia, Normalizacao e Qualidade Industrial ? INMETRO, cor BRANCA  tensao 110 V Utiliza gas Ciclo/Isopentano. Garantia minima de 12 mesesOn Site
100;cateter, intravenoso, centrar, intracatch, numero, ga, sistema, dentro, agulha, madril, guia, radiopaco, apirogenico, bicompativel, apresentar, suporte, formato, anatomico, orificio, sutura, fecho, seguranca, automatico, superficie, anti, derrapante, esterilizado, oxido, etileno, uso, unico;#;l;#;19;#;;#;;#;;#;;#;CATÉTER INTRAVENOSO CENTRA L(TIPO INTRACATCH)  NÚMERO 19 GA (SISTEMA POR, DENTRO DA AGULHA COM MADRIL GUIA) MATERIAL RADIOPACO APIROGÊNICO. BICOMPATÍVEL. APRESENTA SUPORTE PARA A AGULHA COM FORMATO ANATÔMICO, ORIFÍCIOS PARA SUTURA, FECHO DE SEGURANÇA AUTOMÁTICO E SUPERFÍCIE ANTI-DERRAPANTE, ESTERILIZADO POR ÓXIDO DE ETILENO MATERIAL DE USO ÚNICO
101;registro, atividade, procedimento, notificacao, ficha, complementar, ap, grs, f9;#;;#;100, 1, 75;#;;#;;#;;#;;#;REGISTRO DE ATIVIDADES,PROCEDIMENTOS E NOTIFICAÇAO, (FICHA D COMPLEMENTAR 100X1 AP 75GRS  F9)
102;acido, urico;#;;#;;#;;#;;#;;#;;#;Acido Urico
103;fita, adesivo, hospitalar, confeccionada, dorso, papel, crepado, tratado, latices, estireno, butadieno, receber, face, massa, base, borracha, natural, outro, face, fino, camada, impermeabilizante, acrilico, utilizado, fixacao, atadura, rotulo, soro, identificacao, seringa, mamadeira, fechamento, poder, ser, esterilizado, somente, processo, gas, oxido, etileno, largura, comprimento, embalado, individualmente, saco;#;mm, m;#;19, 50;#;branco;#;plastico;#;;#;pacote;#;FITA ADESIVA HOSPITALAR 19 MM X 50 M confeccionada com dorso de papel crepado, tratado com latices de estireno butadieno, recebendo em uma de suas faces massa adesiva a base de borracha natural e na outra face uma fina camada impermeabilizante de acrilicas, utilizada para fixacao de ataduras, rotulos de soro, identificacao de seringas e mamadeiras, fechamento de pacotes de papel, podendo ser esterilizada somente pelo processo a gas oxido de etileno, cor branca, medindo 19mm de largura x 50m de comprimento, embalada individualmente em saco plastico.
104;dagua, polipropileno, caracteristico, adicional, tampo;#;l;#;1, 000;#;;#;;#;;#;caixa;#;CAIXA DÁGUA, MATERIAL POLIPROPILENO, CAPACIDADE 1.000L, CARACTERÍSTICAS ADICIONAIS COM TAMPA.
105;amalgamador, odontologico, modo, operacao, digital, capsular, alto, velocidade, trituracao, exato, consistente, extremamente, silencioso, baixo, vibracao, simples, usar, apenar, botao, compativel, todo, capsula, facil, limpar, superficie, poroso, identificador, potencia, funcao, desligar, bivolt, opcao, tempo, segundo, misturar, encapsulado, poder, ser, interromper, pressionar, durante, levantar, tampo, microprocessador, interno, controlar, oscilacao, garantir, garantia, minimo, mes;#;;#;3, 6, 8, 10, 12;#;;#;plastico;#;;#;;#;AMALGAMADOR ODONTOLÓGICO - AMALGAMADOR ODONTOLÓGICO  Modo de operação digital, Tipo capsular.  Alta velocidade,  Trituração exata e consistente, extremamente silencioso e com baixa vibração, simples de usar com apenas 03 botões, Compatível com todas as cápsulas,  Fácil de limpar com a superfície plástica e não porosa,  Identificador de baixa potência e função de desligar, Bivolt, 03 opções de tempo (6, 8 e 10 segundos) para misturar os materiais encapsulados, a trituração pode ser interrompida ao pressionar estes botões durante a operação ou apenas ao se levantar a tampa, Microprocessador interno que controla o tempo de oscilação garantindo uma trituração mais exata e consistente  Garantia Minima - 12 meses.
106;fuba, moinho, agua, peneirar, dado, identificacao, produto, marca, fabricante, data, fabricacao, prazer, validade, pesar, liquido, embal;#;;#;;#;;#;;#;;#;;#;FUBA MOINHO D'AGUA  PENEIRADO - Com dados de identificacao do produto, marca do fabricante, data de fabricacao, prazo de validade, peso liquido. Embal
107;aparelho, esfignomanometro, adulto, esfigmomanometro, composto, manometro, mecanico, relogio, mostrador, graduado, mmh;#;;#;;#;;#;;#;;#;;#;APARELHO DE ESFIGNOMANOMETRO ADULTO - "Aparelho de esfigmomanometro adulto, composto de manometro mecanico tipo relogio, com mostrador graduado em mmH
108;dispositivo, infusao, intravenoso, coleta, sangue, galgi, agulha, trifacetada, seguranca, dever, constar, data, fabricacao, validade, numerodo, lote, registro, ministerio, saude, exclusivo, vacuo, adapatador, luer, multiplo, tubo, vinil, flexivel, trifacetado, asa, flexivel;#;;#;27, 20, 5, 0;#;;#;;#;;#;embalagem;#;DISPOSITIVO DE INFUSAO INTRAVENOSA COLETA SANGUE - TAMANHO: 27 GALGI, AGULHA: TRIFACETADA 20 X 5,0 COM DISPOSITIVO DE SEGURANCA NA EMBALAGEM DEVERA CONSTAR A DATA DE FABRICACAO, DE VALIDADE E NUMERODO LOTE. COM REGISTRO NO MINISTERIO DA SAUDE. EXCLUSIVO PARA COLETA DE SANGUE A VACUO, COM ADAPATADOR LUER, PARA COLETA MULTIPLA, TUBO EM VINIL FLEXIVEL, TRIFACETADO, ASAS FLEXIVEIS.
